,,M1 CPU FP16,,,,,
,GMACs,Top-1 //20 est.,Latency(ms),备注,,,
EF2,0.4,76.10%,7.54,mnn,,,
EF2,0.65,78.70%,11.71,,,,
EF2,1.25,82.10%,20.83,,,,
SWF,0.4,76.30%,9.9,mnn,,,
SWF,1,78.40%,14.71,,,,
SWF,1.6,80.90%,22.62,,,,
EMO,0.26,70.80%,9.56,mnn,70.40%,9.3,tflite+armnn
EMO,0.44,74.70%,13.87,,74.48%,13.53,
EMO,0.96,79.08%,23.76,,77.88%,22.94,
ENX,0.26,70.80%,5.43,mnn,,,
ENX,0.54,74.60%,10.3,,,,
ENX,1.26,78.50%,20.49,,,,
MV2,0.5,69.70%,9.87,ncnn,,,
MV2,1,75.00%,19.8,,,,
MV2,1.8,77.90%,33.2,,,,
MV,0.36,68.80%,10.76,tflite,,,
MV,0.89,74.00%,22.81,,,,
MV,2,77.60%,39.14,,,,
LVT,0.3,75.80%,4.85,mnn,,,
LVT,0.41,79.40%,6.64,,,,
LVT,0.66,79.60%,9.29,,,,
CNN,0.29,75.68%,3.98,tflite+litert+armnn,,,
CNN,0.72,77.84%,10.96,tflite+litert+armnn,,,
CNN,1.2,79.72%,16.45,,,,
CNN,1.7,81.28%,23.4,,,,
